site_id,latitude,longitude
new_york,40.7128,-74.0060
los_angeles,34.0522,-118.2437
chicago,41.8781,-87.6298
toronto,43.6532,-79.3832
mexico_city,19.4326,-99.1332
denver,39.7392,-104.9903
atlanta,33.7490,-84.3880
seattle,47.6062,-122.3321
sao_paulo,-23.5505,-46.6333
buenos_aires,-34.6037,-58.3816
bogota,4.7110,-74.0721
lima,-12.0464,-77.0428
santiago,-33.4489,-70.6693
london,51.5074,-0.1278
paris,48.8566,2.3522
berlin,52.5200,13.4050
madrid,40.4168,-3.7038
rome,41.9028,12.4964
vienna,48.2082,16.3738
warsaw,52.2297,21.0122
stockholm,59.3293,18.0686
amsterdam,52.3676,4.9041
moscow,55.7558,37.6173
istanbul,41.0082,28.9784
athens,37.9838,23.7275
lisbon,38.7223,-9.1393
cairo,30.0444,31.2357
lagos,6.5244,3.3792
nairobi,-1.2921,36.8219
johannesburg,-26.2041,28.0473
casablanca,33.5731,-7.5898
tel_aviv,32.0853,34.7818
riyadh,24.7136,46.6753
dubai,25.2048,55.2708
tehran,35.6892,51.3890
new_delhi,28.6139,77.2090
mumbai,19.0760,72.8777
karachi,24.8607,67.0011
dhaka,23.8103,90.4125
bangkok,13.7563,100.5018
jakarta,-6.2088,106.8456
manila,14.5995,120.9842
singapore,1.3521,103.8198
kuala_lumpur,3.1390,101.6869
hanoi,21.0278,105.8342
beijing,39.9042,116.4074
shanghai,31.2304,121.4737
hong_kong,22.3193,114.1694
seoul,37.5665,126.9780
tokyo,35.6762,139.6503
osaka,34.6937,135.5023
taipei,25.0330,121.5654
sydney,-33.8688,151.2093
melbourne,-37.8136,144.9631
auckland,-36.8485,174.7633
perth,-31.9505,115.8605
anchorage,61.2181,-149.9003
reykjavik,64.1466,-21.9426
